,gene_description,gene_nomenclature_authority_identifier,gene_symbol_x,gene_synonyms_0,gene_synonyms_1,query_0,gene_symbol_y
277,Nucleostemin 1,FBgn0038473,Ns1,CG3983,Dmel\CG3983,NP_732199.2,ns1
278,Keap1,FBgn0038475,Keap1,CG3962,dkeap-1,NP_788685.1,Keap1
279,Mediator complex subunit 17,FBgn0038578,MED17,CG7957,dMED17,NP_650686.1,MED17
280,WRN exonuclease,FBgn0038608,WRNexo,CG7670,Dmel\CG7670,NP_001287389.1,WRNexo
281,mitochondrial transcription factor A,FBgn0038805,TFAM,CG4217,d-mttfa,NP_524415.1,TFAM
282,Dicer-1,FBgn0039016,Dcr-1,cg4792,CG4792,NP_524453.1,Dcr-1
283,Nucleoporin 98-96kD,FBgn0039120,Nup98-96,CG10198,CG10201,NP_651187.2,Nup98-96
284,uncharacterized protein,FBgn0039274,CG11920,Dmel\CG11920,,NP_651335.2,CG11920
285,uncharacterized protein,FBgn0039488,CG6066,Dmel\CG6066,,NP_651538.1,CG6066
286,CAP-D2 condensin subunit,FBgn0039680,Cap-D2,CAP-D2,CapD2,NP_651709.1,CAP-D2
287,SET domain containing 1,FBgn0040022,Set1,aaf45425 Dm,CG17395,NP_001163851.1,Set1
288,will die slowly,FBgn0040066,wds,CG17437,Dmel\CG17437,NP_524984.1,wds
289,c12.1,FBgn0040235,c12.1,C12.1,CG12135,NP_652605.1,c12.1
290,Spt5,FBgn0040273,Spt5,CG7626,dDSIF,NP_652610.1,Spt5
291,,FBgn0040366,,,,,CG11398
292,Coat Protein (coatomer) zeta,FBgn0040512,zetaCOP,CG3948,copz1,NP_648910.1,zetaCOP
293,Splicing factor 3b subunit 5,FBgn0040534,Sf3b5,CG11985,Dmel\CG11985,NP_652189.1,CG11985
294,Suppressor of exocyst mutations 1,FBgn0266666,Sem1,BcDNA:RH34416,CG13779,NP_652555.1,CG13779
295,armitage,FBgn0041164,armi,APC16,Armi,NP_647816.2,armi
296,SCAR,FBgn0041781,SCAR,BEST:SD02991,CG4636,NP_001260368.1,SCAR
297,mitochondrial ribosomal protein S5,FBgn0287187,mRpS5,80Fa,BcDNA:RE47909,NP_001036653.1,mRpS5
298,uncharacterized protein,FBgn0050020,CG30020,BEST:LD40262,CG12941,NP_001260875.1,CG30020
299,uncharacterized protein,FBgn0050382,CG30382,30382,Dmel\CG30382,NP_724616.1,CG30382
300,Vacuolar protein sorting 13D,FBgn0052113,Vps13D,CG11002,CG11003,NP_729825.2,CG32113
301,,FBgn0052183,,,,,Ccn
302,Leucyl-tRNA synthetase,FBgn0284253,LeuRS,anon-EST:Posey266,CG3229,NP_787968.1,CG33123
303,Phosphatase 1 nuclear targeting subunit,FBgn0053526,PNUTS,CG31657,CG33526,NP_001259850.1,PNUTS
304,Nipped-A,FBgn0053554,Nipped-A,41Ah,CG10549,NP_001097192.2,Nipped-A
305,formin 3,FBgn0053556,form3,ah1644,CG14824,NP_001097527.1,form3
306,tropomodulin,FBgn0082582,tmod,1309/10,CG11493,NP_001247371.1,tmod
307,protein partner of snf,FBgn0082831,pps,CG6525,Dmel\CG6525,NP_650193.1,pps
308,,FBgn0085339,,,,,CG34310
309,Not1,FBgn0085436,Not1,anon-EST:Liang-1.29,anon-WO0118547.221,NP_724798.3,Not1
310,Proteasome alpha2 subunit,FBgn0086134,Prosalpha2,153303_at,20S-alpha,NP_524328.1,Prosalpha2
311,tumbleweed,FBgn0086356,tum,13345,acGAP,NP_610912.2,tum
312,Asparaginyl-tRNA synthetase,FBgn0086443,AsnRS,Aats-asn,BcDNA:GH06451,NP_609948.1,Aats-asn
313,Centromeric protein-C,FBgn0266916,Cenp-C,cenp-C,CENP-C,NP_731254.2,Cenp-C
314,pixie,FBgn0086706,pix,ABCE1,BEST:GH18088,NP_729435.1,pix
315,Tousled-like kinase,FBgn0283657,Tlk,anon-WO03040301.114,anon-WO03040301.116,NP_001138153.1,tlk
316,kismet,FBgn0266557,kis,136/31,2532,NP_001245818.1,kis
317,eggless,FBgn0086908,egg,AAF47268 Dm,AAM70794,NP_611966.3,egg
318,alpha Soluble NSF attachment protein,FBgn0250791,alphaSnap,a-Snap,alpha-Snap,NP_524180.1,Snap
319,uncharacterized protein,FBgn0250911,CG42245,Dmel\CG42245,,NP_001137876.1,CG42245
320,uncharacterized protein,FBgn0259203,CG42307,Dmel\CG42307,,NP_001286967.1,CG42307
321,putzig,FBgn0259785,pzg,CG7752,Dmel\CG7752,NP_649297.1,pzg
322,Huntingtin-interacting protein 14,FBgn0259824,Hip14,3L1,CG 6017,NP_001261910.1,Hip14
323,Nucleolar protein at 60B,FBgn0259937,Nop60B,CG333,CG3333,NP_525120.1,Nop60B
324,greatwall,FBgn0260399,gwl,1J,anon-WO2004063362.73,NP_001262713.1,gwl
325,Protein phosphatase 2A at 29B,FBgn0260439,Pp2A-29B,29B,A/PR65,NP_001027227.1,Pp2A-29B
326,multi sex combs,FBgn0260789,mxc,CG12058,CG12124,NP_572548.1,mxc
327,Blocked early in transport 3,FBgn0260859,Bet3,BET3,Bet3p,NP_648312.3,Bet3
328,par-1,FBgn0260934,par-1,27C1,anon-WO0210402.19,NP_995894.2,par-1
329,scrawny,FBgn0260936,scny,2331,anon-WO0118547.247,NP_001246640.1,scny
330,alicorn,FBgn0260972,alc,8057,AMPKbeta,NP_610460.1,alc
331,TER94,FBgn0286784,TER94,22.26,7.12,NP_477369.1,TER94
332,Pre-RNA processing factor 19,FBgn0261119,Prp19,BcDNA:LD02793,CG5519,NP_523783.1,Prp19
333,Regulatory particle non-ATPase 3,FBgn0261396,Rpn3,CG10484,CG42641,NP_477300.1,Rpn3
334,COP9 signalosome subunit 8,FBgn0261437,CSN8,CG13383,CG33297,NP_723378.2,CSN8
335,nejire,FBgn0261617,nej,anon-WO0147981.11,anon-WO03040301.89,NP_524642.2,nej
336,poly(A) binding protein,FBgn0265297,pAbp,anon-EST:fe2E5,anon-EST:Posey247,NP_725750.1,pAbp
337,Small ribonucleoprotein particle protein SmE,FBgn0261790,SmE,BcDNA:GM19936,CG18591,NP_609162.1,SmE
338,small ribonucleoprotein particle U1 subunit C,FBgn0261792,snRNP-U1-C,BcDNA:RH29440,C,NP_650767.1,snRNP-U1-C
339,Dynein heavy chain 64C,FBgn0261797,Dhc64C,CD,cDhc,NP_001261427.1,Dhc64C
340,atypical protein kinase C,FBgn0261854,aPKC,a-PKC,alphaPKCzeta,NP_001188939.1,aPKC
341,Phosphatidylinositol 4-kinase III alpha,FBgn0267350,Pi4KIIIalpha,CG10260,Dmel\CG10260,NP_001259191.1,PI4KIIIalpha
342,mitochondrial RNA polymerase,FBgn0261938,mtRNApol,CG4644,Dmel\CG4644,NP_608565.1,mtRNApol
343,Transcription factor AP-2,FBgn0261953,TfAP-2,AP-2,AP-2alpha,NP_001262178.1,TfAP-2
344,enhanced adult sensory threshold,FBgn0261954,east,anon-WO03040301.224,CG4399,NP_524864.2,east
345,Mi-2,FBgn0262519,Mi-2,0006/06,0854/01,NP_001014591.1,Mi-2
346,vasa,FBgn0283442,vas,BG:DS00929.14,CG3506,NP_723899.1,vas
347,Small ribonucleoprotein particle protein SmB,FBgn0262601,SmB,B,CG5352,NP_001188780.1,SmB
348,Nucleoporin 160kD,FBgn0262647,Nup160,CG4738,Dmel\CG4738,NP_609493.1,Nup160
349,Myc,FBgn0262656,Myc,anon-WO03040301.171,bHLHe57,NP_525062.2,dm
350,Female sterile (2) Ketel,FBgn0262743,Fs(2)Ket,38E.11,CG2637,NP_477496.1,Fs(2)Ket
351,pipsqueak,FBgn0263102,psq,BTB-V,BtbV,NP_724955.1,psq
352,,FBgn0263121,,,,,Prosalpha1
353,Cyclin-dependent kinase 7,FBgn0263237,Cdk7,CD 7,cdk-7,NP_511044.1,Cdk7
354,hu li tai shao,FBgn0263391,hts,1B1,add,NP_001246421.1,hts
355,lethal (3) 72Ab,FBgn0263599,l(3)72Ab,anon-EST:Liang-1.21,ASCC3L1,NP_648818.3,l(3)72Ab
356,eukaryotic translation initiation factor 2 subunit gamma,FBgn0263740,eIF2gamma,51kDa protein,CG43665,NP_731993.1,eIF-2gamma
357,Suppressor of variegation 3-9,FBgn0263755,Su(var)3-9,caa56376 Suvar39 Dm,CG43664,NP_524357.2,Su(var)3-9
358,Bub1-related kinase,FBgn0263855,BubR1,31/13,BcDNA:LD23835,NP_477382.1,BubR1
359,ebi,FBgn0263933,ebi,CG4063,Dmel\CG4063,NP_477329.1,ebi
360,"Chromatin assembly factor 1, p55 subunit",FBgn0263979,Caf1-55,154659_at,55,NP_001163617.1,Caf1
361,Sex lethal,FBgn0264270,Sxl,CG14425,CG18350,NP_001162686.1,Sxl
362,casein kinase IIalpha,FBgn0264492,CkIIalpha,0958/08,alphaCK2,NP_730775.1,CkIIalpha
363,grappa,FBgn0264495,gpp,0732/14,anon-WO0118547.319,NP_001262316.1,gpp
364,smt3,FBgn0264922,smt3,anon-EST:Posey240,CG4494,NP_477411.1,smt3
365,SLY-1 homologous,FBgn0264978,Slh,CG15393,CG3539,NP_995614.1,Slh
366,benign gonial cell neoplasm,FBgn0004581,bgcn,b(2)cgn,b(2)gcn,NP_001286787.1,bgcn
367,nanos,FBgn0002962,nos,CG5637,Dmel\CG5637,NP_001262723.1,nos
