Gene,anopheles darlingi,anopheles gambiae,culex quinquefasciatus,lucilla cuprina,musca,anopheles darlingi,,,,anopheles gambiae,,,,culex quinquefasciatus,,,,lucilla cuprina,,,,musca,,,,simulans,,,,yakuba,,,,pseudo,,,,ananassae,,,,grimshawi,,,,willistoni,,,,virilis,,,,mojavensis,,,,sechellia,,,,Meip 26,,,,all but E and F,only E and F,all but B and E,all but E,all but c,all but D and E,all but D ,only B and F,only F,all but F,all but C and D,only B and E,all but B and D
fs(1)h,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,96.86,96.33,100,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32,30.55,100,yes,,,,,,,,,,,,,,,,,
fs(2)ltoPP43,,,,,,,,,,,,,,,,,,42.01,46.59,0,no,40.19,45.23,0,no ,95,93.19,100,yes,91.09,89.1,100,yes,67.19,69.75,50,yes,75.47,76.29,75,yes,64.52,65.12,100,yes,63.79,62.4,75,yes,65.75,64.85,75,yes,64.17,62.94,100,yes,95.92,38.42,75,yes,,,,,,,,,,,,,,,,,
Hrb27C,x,x,x,x,x,56.45,55.11,0,no,57.04,55.82,0,no,60.45,55.72,0,no,86.02,38,25,yes,90.52,90.74,0,no ,99.52,99.52,100,yes,99.76,99.76,100,yes,97.62,97.62,100,yes,98.57,98.57,100,yes,98.1,98.1,50,yes,95.73,95.96,100,yes,97.86,97.86,75,yes,88.89,89.31,75,yes,99.52,99.52,100,yes,,,,,,,,,,,,,,,,,
Bx42,x,x,x,x,x,77.74,77.88,0,yes,77.6,77.88,0,yes,77.24,78.79,0,yes,84.93,84.46,0,no,84.95,84.64,0,no ,98.9,98.9,100,yes,95.98,95.98,100,yes,92.5,92.5,100,yes,95.06,95.06,100,yes,90.74,91.41,50,yes,90.35,90.68,0,no,91.01,90.68,50,yes,91.53,90.86,25,no,98.89,97.81,100,yes,,,,,,,,,,,,,,,,,
piwi,x,x,x,x,x,41.59,45.2,0,yes,42.54,45.67,0,yes,45.43,46.62,0,yes,55.63,60.38,0,no,57.13,60.38,25,yes,96.68,96.68,100,yes,94.66,94.66,100,yes,74.88,75.33,50,yes,75.26,76.87,100,yes,66.74,69.51,50,yes,66.07,70.23,50,yes,66.28,67.85,50,yes,66.52,69.51,25,no,96.8,96.8,100,yes,,,,,,,,,,,,,,,,,
Gnf1,x,x,x,,x,47.61,48.31,0,no,47.86,50,25,no,46.55,48.12,0,no,,,,,54.48,55.46,25,yes,89.29,86.81,100,yes,85.23,82.44,100,yes,63.93,64.88,100,yes,69.54,68.85,100,yes,63.39,63.39,75,yes,64.19,62.6,0,no,62.77,62.9,100,yes,60.23,61.31,100,yes,89.29,86.81,100,yes,,,all but E,,,,,,,,,,,,,,
faf,x,x,x,x,x,43.52,49.46,0,yes,45.76,49.28,0,yes,,,,,71.59,73.83,25,yes,69.96,73.87,25,yes,,,,,,,,,80.64,83.08,75,yes,85.3,85.42,75,yes,78.67,80.6,75,yes,83.76,82.79,75,yes,80.33,80.99,75,yes,80.21,80.85,75,yes,95.11,93.81,100,yes,,,,,,,,,,,,,,,,,
zip,x,x,x,x,x,79,80.69,0,yes,84.98,81.18,0,yes,84.39,76.8,0,yes,91.76,78.02,0,no,92.69,88.81,0,no ,99.16,97.37,100,yes,99.35,96.79,100,yes,95.38,93.43,50,yes,97.06,94.65,100,yes,96.15,92.32,50,yes,97.06,93.09,0,no,96.81,92.85,50,yes,92.92,92.51,50,yes,99.75,19.65,100,no,,,,,,,,,,,,,,,,,
dac,x,x,x,x,x,27.14,31.91,0,no,42.13,34.69,0,no,44.64,14.25,0,no,44.26,47.83,25,yes,41.85,46.81,0,no ,95.27,95,100,yes,83.8,83.26,50,yes,67.93,64.85,75,yes,57.09,55.87,75,yes,60.15,52.36,100,yes,56.28,55.13,100,yes,55.41,51.16,100,yes,60.9,46.25,100,yes,,,,,,,,,,,,,,,,,,,,,
betaCop,x,x,x,x,x,77.37,76.97,0,yes,77.79,77.39,0,yes,80.13,79.46,0,yes,90.08,89.52,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATPsyn-beta,x,x,x,x,x,88.87,87.13,n/a,no,93.82,82.85,n/a,no,87.87,87.52,n/a,no,89.94,88.89,n/a,no,89.72,88.5,n/a,no ,96.6,66.47,n/a,no ,89.9,88.5,n/a,no,89.33,88.11,n/a ,no,89.92,88.69,n/a,no,90.12,88.89,n/a,no,89.92,88.69,n/a,no,89.33,88.11,n/a,no,90.12,88.89,n/a,no,82.17,61.99,n/a ,no,,,,,,,,,,,,,,,,,
Ssrp,x,x,x,x,x,63.01,63.62,0,no,62.23,62.66,0,no,65.66,66.11,0,no,73.65,75.38,0,no,74.33,76.49,0,no ,99.31,99.17,100,yes,95.99,95.99,100,yes,85.14,85.62,75,yes,88.19,88.8,100,yes,,,,,82.74,83.54,100,yes,84.22,84.92,50,yes,85.15,86.45,75,yes,,,,,,,,,,,,,,,,,,,,,
TfIIFalpha,x,x,x,x,x,61.23,61.87,0,no,62.81,62.05,0,no,72.5,10.05,0,no,74.18,70.71,0,no,70.71,67.76,0,no ,98.79,98.79,75,yes,97.22,97.05,75,yes,80.73,80.59,100,yes,83.88,83.88,100,yes,82.11,81.11,75,yes,74.53,76.08,25,no,79.26,78.16,100,yes,78.53,77.99,100,yes,98.43,98.09,100,yes,,,,,,,,,,,,,,,,,
bys,x,x,x,x,x,,,,,53.56,60.32,0,yes,,,,,77.24,77.06,75,yes,73.97,74.31,50,yes,97.94,97.94,100,yes,99.31,99.31,100,yes,89.91,89.91,100,yes,94.97,95.18,100,yes,85.94,86.93,50,yes,87.73,88.53,100,yes,89.24,89.45,50,yes,86.99,87.39,50,yes,95.4,90.37,100,yes,,,,,,,,,,,,,,,,,
Cdc42,x,,,,x,98.95,98.95,0,no,98.95,98.95,0,no,58.12,58.12,0,no,,,,,94.76,94.76,25,yes,99.48,99.48,100,yes,99.48,99.48,100,yes,99.48,99.48,100,yes,98.95,98.95,50,yes,97.91,97.91,100,yes,98.43,98.43,50,yes,73.44,98.43,75,yes,97.91,97.91,100,yes,98.7,79.58,100,yes,,,only B and F,,,,,,,,,,,,,,
Taf1,x,x,x,x,x,58.19,51.34,0,yes,54.05,53.73,25,yes,58.39,55.11,0,yes,68.88,66.44,50,yes,68.08,64.92,50,yes,97.61,95.76,100,yes,94.2,92.68,75,yes,74.18,75.28,100,yes,82.39,81.22,50,yes,74.57,73.57,50,yes,78.64,77.12,50,yes,77.46,76.11,50,yes,76.66,75,50,yes,97.47,95.63,100,yes,,,,,,,,,,,,,,,,,
Taf5,x,x,x,x,x,55.78,51.42,0,yes,55.61,51.42,0,yes,55.21,51.14,0,yes,64.72,63.07,0,no,64.57,62.64,0,no ,83.43,83.66,25,no ,84.38,84.38,100,yes,84.18,84.66,25,no,82.91,83.38,75,yes,98.15,98.15,100,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akt1,x,x,x,x,x,62.8,63.83,0,yes,69,64.48,0,yes,71.69,63.83,0,yes,,,,,,,,,96.23,83.47,75,yes,92.68,80.85,100,yes,89.25,77.41,100,yes,81.89,80.69,100,yes,71.69,76.27,75,yes,85.12,73.98,100,yes,67.91,77.25,100,yes,73.27,76.27,100,yes,96.23,83.47,75,yes,,,,,,,,,,,,,,,,,
CycE,x,x,x,x,x,36.7,29.07,0,yes,33.28,31.32,0,yes,40.03,32.44,25,yes,40.64,44.8,25,yes,42.47,43.96,25,yes,81.7,82.16,100,yes,80.79,80.9,100,yes,68.51,60.81,75,yes,62.13,62.22,50,yes,51.73,54.49,25,no,58.2,57.3,50,yes,55.16,54.07,25,no,50,52.67,25,no,91.22,90.45,100,yes,,,,,,,,,,,,,,,,,
lwr,x,x,x,x,x,73.99,80.5,0,yes,90.57,90.57,0,yes,72.15,71.7,0,yes,100,100,0,no,99.37,99.37,0,no ,100,100,75,yes,100,100,75,yes,99.37,99.37,75,yes,100,100,75,yes,99.37,99.37,75,yes,99.37,99.37,50,no,100,100,75,yes,100,100,100,yes,100,100,75,yes,,,,,,,,,,,,,,,,,
dia,x,x,x,x,x,59.32,62.02,0,yes,60.29,61.38,0,yes,62.66,60.84,0,yes,77.77,77.41,100,yes,78.27,77.41,0,no ,99.54,99.45,100,yes,98.54,98.45,100,yes,90.25,90.16,100,yes,87.42,86.7,100,yes,85.47,85.7,50,yes,89.78,89.62,100,yes,86.36,85.88,50,yes,87.39,87.7,50,yes,94.71,39.16,100,yes,,,,,,,,,,,,,,,,,
blw,x,x,x,x,x,90.38,90.22,0,yes,89.66,89.49,0,yes,89.47,89.31,0,yes,95.47,95.47,100,yes,95.65,95.65,50,yes,99.82,99.82,100,yes,99.46,99.46,100,yes,92.39,92.39,25,no,97.83,97.83,100,yes,96.91,96.56,75,yes,96.92,96.92,50,yes,96.18,95.83,75,yes,96.55,96.2,50,yes,99.82,99.82,100,yes,,,,,,,,,,,,,,,,,
eff,x,x,,x,x,77.72,97.28,0,yes,100,100,25,yes,,,,,40.59,74.83,25,yes,100,100,0,no ,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,75,yes,100,100,25,no,100,100,75,yes,100,100,25,no,100,100,25,no,100,100,75,yes,,,all but D,,,,,,,,,,,,,,
poe,x,x,x,x,x,53.43,55.71,0,yes,54.29,56.26,0,yes,69.83,8.31,0,no,74.81,27.79,0,no,64.53,67.81,25,yes,98.4,98.38,100,yes,96.21,96.3,100,yes,84.28,85.21,75,yes,89.13,89.5,75,yes,83.5,83.93,100,yes,83.12,84.72,100,yes,84.24,84.76,100,yes,84.58,84.84,100,yes,96.92,93.91,100,yes,,,,,,,,,,,,,,,,,
mtacp1,,,,x,x,43.04,37.57,0,yes,53.21,45.86,0,yes,46.75,39.78,0,yes,68.39,72.93,0,no,68.48,69.61,0,no ,98.89,98.89,100,yes,original,,,,82.01,85.64,75,yes,83.33,82.87,75,yes,79.44,79.01,100,yes,77.84,75.69,75,yes,81.01,80.11,100,yes,71.27,71.27,50,yes,95.7,98.34,75,yes,,,only E and F,,,,,,,,,,,,,,
Cdc37,x,x,x,x,x,53.59,53.73,0,yes,54.85,55.27,0,yes,55.96,51.93,0,yes,81.62,77.64,0,no,78.12,77.12,0,no ,98.2,98.2,100,yes,84.19,97.17,100,yes,85.9,86.12,50,yes,89.72,89.72,100,yes,76.62,79.18,50,yes,82.14,82.78,25,no,79.95,82.01,50,yes,78.23,79.43,50,yes,98.2,98.2,100,yes,,,,,,,,,,,,,,,,,
Iswi,x,x,x,x,x,62.48,62.9,0,no,62.87,62.8,25,no,60.45,60.27,0,no,87.87,87.44,50,yes,87.44,86.76,0,no ,99.32,99.32,75,yes,98.83,98.83,100,yes,94.4,95.13,50,yes,97.57,97.57,100,yes,94.24,94.06,25,no,95.52,95.42,25,no,95.49,94.94,50,yes,95,94.35,50,yes,99.22,99.22,100,yes,,,,,,,,,,,,,,,,,
La,x,x,x,x,x,39.8,41.03,0,yes,40.24,42.82,0,yes,35.86,35.13,0,yes,52.42,52.82,0,no,49.62,50,50,yes,95.42,96.15,100,yes,95.9,95.9,100,yes,72.96,73.33,100,yes,73.4,73.59,100,yes,70.41,70.77,50,yes,69.31,71.79,100,yes,70.92,71.28,50,yes,71.54,71.54,50,yes,97.69,97.69,100,yes,,,,,,,,,,,,,,,,,
twin,x,x,x,x,x,84.49,53.79,0,yes,81.75,79.01,0,yes,74.82,53.97,0,yes,92.73,62.96,25,yes,89.87,87.65,50,yes,96.38,93.83,100,yes,99.46,96.83,100,yes,98.55,95.77,100,yes,99.09,96.47,100,yes,96.38,93.83,100,yes,96.75,94.36,100,yes,96.92,94.36,100,yes,95.13,92.95,100,yes,,,,,,,,,,,,,,,,,,,,,
Dsp1,x,x,x,x,x,,,,,,,,,,,,,51.13,80.1,0,no,50.74,78.09,0,no ,99.24,99.24,100,yes,97.97,97.23,100,yes,95.93,94.96,100,yes,96.9,94.46,100,yes,91.54,92.7,50,yes,89.97,90.43,100,yes,91.32,92.7,50,yes,85.12,87.91,50,yes,,,,,,,,,,,,,,,,,,,,,
BRWD3,x,x,x,x,x,39.71,46.19,0,yes,41.04,46.77,0,yes,48.29,42.34,0,yes,59.97,59.81,0,no,59.48,59.45,0,no ,94.14,94.27,100,yes,93.94,93.68,100,yes,68.34,71.77,75,yes,73.85,73.88,100,yes,68.64,69.53,100,yes,67.38,68.95,25,no,69.78,70.25,100,yes,69.53,70.97,100,yes,95.69,92.47,100,yes,,,,,,,,,,,,,,,,,
Gem3,x,x,x,x,x,18.58,20.43,0,no,19.73,21.69,0,no,39.3,14.11,0,no,24.48,24.12,25,no,24.85,23.93,0,no ,68.64,69.84,100,yes,59.83,63.33,100,yes,28.62,30.74,75,yes,35.02,39.79,100,yes,32.13,32.78,100,yes,35.72,31.52,75,yes,35.58,36.97,100,yes,30.02,32.3,100,yes,68.74,57.1,100,yes,,,,,,,,,,,,,,,,,
Cdc27,x,x,x,x,x,42.84,49.22,0,yes,43.6,50.33,0,yes,53.62,16.44,0,no,67.15,71.56,50,yes,68.37,71.33,0,no ,99.11,99.11,100,yes,96.35,96.89,100,yes,83.48,86.44,25,no,90.86,91.67,50,yes,778.03,79.33,25,no,75.71,74.44,25,no,79.16,81.44,25,no,78.7,80.89,25,no,99.68,34.44,100,yes,,,,,,,,,,,,,,,,,
alien,x,x,x,x,x,88.54,88.74,0,no,87.87,88.06,0,no,39.51,36.49,0,no,39.51,36.49,0,no,93.24,93.24,50,yes,93.02,93.02,25,yes,100,100,100,yes,100,100,100,yes,98.87,98.87,100,yes,99.55,99.55,100,yes,98.65,98.65,0,no,99.1,99.1,75,yes,98.2,98.2,100,yes,97.75,97.75,100,yes,,,,,,,,,,,,,,,,,
InR,x,x,x,x,x,32.04,23.79,0,no,34.59,24.3,0,no,,,,,,,,,,,,,95.76,95.8,100,yes,88.77,88.48,100,yes,43,45.99,0,no,,,,,40.93,37.69,0,no,42.62,37.97,50,yes,,,,,40.68,36.85,0,no,96.52,94.4,100,yes,,,,,,,,,,,,,,,,,
Rho1,x,x,,x,x,58.15,94.79,25,no,87.92,94.79,25,no,,,,,97.4,97.4,75,yes,93.5,97.4,50,yes,100,100,100,yes,100,100,100,yes,93.17,99.48,50,yes,91,100,100,yes,98.44,98.44,100,yes,100,100,75,yes,90,98.44,100,yes,90,98.44,100,yes,100,100,100,yes,,,all but D,,,,,,,,,,,,,,
Su(Tpl),x,x,x,,,32.49,19.36,0,no,35.37,21.34,0,no,31.52,18.6,0,no,29.84,37.87,0,no,27.28,34.47,50,yes,78.98,78.75,100,yes,76.28,75.92,100,yes,53,55.81,100,yes,50.09,52.5,100,yes,,,,,45.29,47.69,75,yes,47.66,40.42,100,yes,47.27,44.19,100,yes,82.21,82.06,100,yes,,,all but E and F,,,,,,,,,,,,,,
barr,x,x,x,x,x,35.03,34.69,0,yes,34.53,35.37,0,yes,33.65,34.15,0,yes,33.65,34.15,0,yes,43.86,45.71,0,no ,42.8,44.08,0,no ,93.02,92.52,100,yes,91.56,91.56,100,yes,59.21,59.46,100,yes,66.17,66.8,75,yes,56.93,58.1,50,yes,54.08,56.87,50,yes,57.24,58.64,50,yes,53.68,54.65,25,no,,,,,,,,,,,,,,,,,
Mcm2,x,x,x,x,x,83,83.09,0,yes,80.33,81.51,0,yes,84.31,84.22,0,yes,93.44,93.12,0,no,92.53,92.22,25,yes,99.55,99.55,100,yes,99.66,99.66,100,yes,97.07,96.96,75,yes,97.97,97.97,25,no,94.83,95.04,0,no,96.04,95.72,25,no,95.82,95.6,0,no,95.59,95.26,0,no,99.44,99.44,100,yes,,,,,,,,,,,,,,,,,
cype,x,x,x,x,x,55.7,57.14,0,yes,55.13,55.84,0,yes,61.54,62.34,0,yes,67.95,68.83,50,yes,66.23,66.23,25,yes,98.7,98.7,100,yes,96.1,96.1,100,yes,57.89,85.71,100,yes,88.46,89.61,100,yes,84.62,85.71,100,yes,91.03,92.21,50,yes,89.74,90.91,100,yes,91.03,92.21,100,yes,,,,,,,,,,,,,,,,,,,,,
Hsp60,,,,,,75.96,75.69,0,yes,76.61,76.22,0,yes,75.39,75,0,yes,,,,,,,,,96.18,96.18,100,yes,96.88,97.05,100,yes,84.75,84.9,100,yes,90.97,90.97,100,yes,85.66,86.11,100,yes,85.57,87.33,100,yes,86.45,87.5,100,yes,85.98,87.33,100,yes,96.35,96.35,100,yes,,,,,,,,,,,,,,,,,
Rpt2,x,x,x,x,x,96.58,96.36,0,no,96.12,95.9,0,no,98.17,97.95,0,no,98.86,98.86,0,no,98.63,98.63,25,yes,100,100,100,yes,99.77,99.77,50,yes,99.32,99.32,50,yes,99.77,99.77,75,yes,99.54,99.54,50,yes,99.77,99.77,25,no,99.32,99.32,50,yes,99.09,99.09,50,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
RpL22,x,x,x,x,x,64.94,33.44,0,yes,66.67,32.78,0,yes,70.27,34.78,0,yes,61.89,54.85,0,no,60.57,56.52,0,no ,73.63,71.91,100,yes,68,68.23,100,yes,69.84,71.24,0,no,66.44,66.22,25,no,65.48,67.89,25,no,67.76,68.9,25,no,64.21,64.21,0,no,65.67,65.89,25,no,83.22,83.94,100,yes,,,,,,,,,,,,,,,,,
glu,x,x,x,x,x,49.2,48.19,0,no,49.56,48.4,0,no,50.66,48.97,0,no,53.52,55.64,25,yes,52.83,55.07,25,yes,96.88,96.95,100,yes,94.33,94.39,100,yes,,,,,79.77,79.49,50,yes,66.79,64.09,50,yes,74.89,70.26,0,no,71.44,70.48,50,yes,71.42,70.76,50,yes,97.23,97.23,100,yes,,,,,,,,,,,,,,,,,
lin19,,,,x,x,63.75,64.08,0,yes,64.4,64.73,0,yes,64.14,64.47,0,yes,74.04,74.42,50,yes,75.06,75.45,25,yes,99.1,99.1,100,yes,98.32,98.32,100,yes,92.12,92.12,100,yes,93.68,93.8,100,yes,89.39,89.28,100,yes,92.77,92.89,100,yes,88.1,87.98,100,yes,86.8,86.69,100,yes,99.1,99.1,100,yes,,,only E and F,,,,,,,,,,,,,,
spag,x,x,x,x,x,,,,,,,,,,,,,,,,,44.97,44.38,25,yes,94.17,93.82,75,yes,85.98,86.14,75,yes,54.62,58.61,100,yes,68.71,84.98,100,yes,56.11,56.74,100,yes,62.03,55.99,100,yes,55.49,56.74,100,yes,55.25,56.18,100,yes,94.52,93.63,75,yes,,,,,,,,,,,,,,,,,
Clp,x,x,x,x,x,63.92,62.84,0,yes,63.51,63.51,0,yes,65.98,64.86,0,yes,63.61,67.91,0,no,64.13,68.24,0,no ,95.61,95.61,100,yes,95.61,95.61,100,yes,85.82,81.76,100,yes,88.14,87.84,100,yes,85.12,83.11,100,yes,82.41,80.74,100,yes,88.17,83.11,100,yes,88.53,83.45,100,yes,,,,,,,,,,,,,,,,,,,,,
Trip1,x,x,x,x,x,72.48,72.7,0,no,72.17,72.39,0,no,75.61,76.07,0,no,88.58,88.04,25,yes,87.04,86.5,25,yes,98.77,98.77,100,yes,original,,,,95.71,95.71,75,yes,97.55,97.55,75,yes,95.09,95.09,75,yes,94.48,94.48,25,no,97.55,97.55,75,yes,96.63,96.63,75,yes,99.08,99.08,100,yes,,,,,,,,,,,,,,,,,
Dref ,,,,,x,,,,,,,,,,,,,,,,,43,41.61,25,yes,97.74,97.74,100,yes,96.47,96.47,100,yes,79.94,80.39,100,yes,82.87,83.22,100,yes,69.87,73.91,100,yes,72.43,75.6,100,yes,72.24,75.6,100,yes,71.33,74.75,100,yes,97.32,97.32,100,yes,,,only F,,,,,,,,,,,,,,
dpa,x,x,x,x,x,72.85,73.44,0,no,74.54,75.4,0,no,74.97,76.1,0,no,51.73,89.95,100,yes,89.68,89.26,50,yes,99.54,99.54,100,yes,99.31,99.31,100,yes,96.54,96.54,100,yes,97.46,97.34,100,yes,95.02,94.69,50,yes,94.72,95.27,75,yes,95.72,95.5,50,yes,95.25,94.92,50,yes,99.54,99.54,100,yes,,,,,,,,,,,,,,,,,
hrg,x,x,x,x,x,58.41,52.48,0,yes,59.31,52,0,yes,76.83,30.47,0,yes,58.09,24.3,25,no,71.45,59.61,25,yes,99.4,99.4,100,yes,88.95,92.5,100,yes,74.66,78.72,100,yes,82.76,84.16,100,yes,82.14,63.97,75,yes,78.5,65.78,75,yes,71.32,66.75,75,yes,72.91,66.38,75,yes,90.17,88.75,100,yes,,,,,,,,,,,,,,,,,
mael,x,x,x,,,23.57,24.03,0,no,22.11,24.03,0,no,21.68,24.03,0,no,,,,,29.72,32.03,0,no ,82.55,83.98,100,yes,79.35,79.87,100,yes,46.49,37.23,0,no,61.29,61.69,100,yes,52.21,48.48,0,no,41.26,43.94,50,yes,50.9,48.92,0,no,49.04,45.24,0,no,65.74,56.06,100,yes,,,all but E and F,,,,,,,,,,,,,,
Pitslre,x,x,x,x,x,41,44.75,50,yes,54.83,40.55,50,yes,48.57,42.75,0,yes,46.95,54.94,25,yes,43.98,52.21,50,yes,97.69,97.69,100,yes,94.1,93.8,100,yes,63.5,65.97,100,yes,75.27,74.47,100,yes,53.88,61.97,75,yes,60.77,64.6,75,yes,60.43,62.08,75,yes,58.57,60.29,75,yes,95.37,97.27,100,yes,,,,,,,,,,,,,,,,,
smid,x,x,,x,x,40.9,46.19,25,yes,40.59,46.82,50,yes,,,,,52.6,56.78,25,yes,52.42,56.14,50,yes,94.81,94.92,100,yes,80.69,79.66,100,yes,48.47,68.86,100,yes,71.71,73.83,100,yes,64.83,67.16,75,yes,65.6,67.27,100,yes,66.6,67.37,75,yes,,,,,93.86,93.86,100,yes,,,all but D,,,,,,,,,,,,,,
Rga,x,x,x,x,x,46.87,49.91,0,yes,49.22,48.72,0,yes,45.55,43.76,0,yes,66.61,64.79,25,yes,65.67,67.69,25,yes,91.03,95.28,100,yes,81.03,81.03,100,yes,77.7,76.24,100,yes,74.07,75.21,100,yes,76.78,75.73,100,yes,73.78,72.67,50,yes,76.35,75.04,100,yes,73.47,71.97,100,yes,99.31,98.29,100,yes,,,,,,,,,,,,,,,,,
Mcm5,x,x,x,x,x,81.04,81.04,0,yes,81.45,81.45,0,yes,82.86,83.08,25,yes,91.6,92.22,75,yes,,,,,100,100,100,yes,99.32,99.32,100,yes,96.43,73.67,100,yes,96.59,96.59,100,yes,92.64,92.77,100,yes,94.69,94.82,100,yes,92.23,92.36,100,yes,93.19,93.32,100,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
CoVa,x,x,x,x,x,88.53,90.85,100,yes,96.08,96.08,100,yes,76.32,75.82,0,yes,62.84,60.78,0,yes,62.59,60.13,25,yes,59.73,58.17,0,yes,59.73,58.17,0,yes,59.73,58.17,0,yes,57.05,55.56,25,yes,61.49,59.48,0,yes,59.73,58.17,25,yes,61.07,59.48,0,yes,59.73,58.17,25,yes,59.73,58.17,0,yes,,,,,,,,,,,,,,,,,
ATPsyn-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cdk9,x,x,x,,x,80.4,79.21,0,yes,80.75,79.95,0,yes,83.67,82.43,0,yes,,,,,89.28,88.61,0,no ,100,100,100,yes,99.75,99.75,100,yes,95.52,95.05,100,yes,96.28,96.04,100,yes,93.3,93.07,100,yes,94.79,94.55,100,yes,93.55,93.32,100,yes,93.55,93.32,100,yes,99.75,99.75,100,yes,,,all but E,,,,,,,,,,,,,,
ATPsyn-gamma,x,x,x,x,x,76.09,76.09,0,no,75.76,75.76,0,no,75.08,75.08,0,no,85.23,85.52,0,no,82.89,83.17,0,no ,99.66,99.66,100,yes,original,,,,91.58,91.58,75,yes,92.26,92.26,100,yes,91.58,91.58,100,yes,93.27,93.27,100,yes,90.57,90.57,100,yes,91.25,91.25,100,yes,100,100,100,yyes,,,,,,,,,,,,,,,,,
dom,x,x,x,x,x,38.25,34.3,0,no,39.56,44.88,0,no,49.95,15.87,0,no,51.9,40.06,0,no,61.17,44.2,25,yes,84.31,65.17,100,yes,,,,,81.57,83.39,0,no,86.25,85.34,100,yes,76.51,78.07,50,yes,,,,,78.18,76.71,50,yes,76.93,78.16,50,yes,93.53,73.77,100,yes,,,,,,,,,,,,,,,,,
emb,x,x,x,x,x,,,,,78.35,77.61,n/a,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcm7,x,x,x,x,x,76.57,76.25,0,no,77.13,76.81,0,no,78.66,78.33,25,no,91.39,91.39,25,yes,91.11,91.11,0,no ,99.72,99.72,100,yes,99.58,99.58,100,yes,94.86,94.86,75,yes,96.81,96.64,100,yes,95.28,95.28,100,yes,95.42,95.42,100,yes,95.83,95.83,100,yes,95,95,100,yes,98.43,43.61,100,yes,,,,,,,,,,,,,,,,,
RpL3,x,x,x,,x,81.82,82.21,0,yes,85.61,85.82,0,yes,77.21,83.89,0,yes,,,,,87.73,92.79,0,no ,100,100,100,yes,99.76,99.76,100,yes,96.14,95.91,100,yes,98.07,97.84,100,yes,95.44,95.67,50,yes,98.07,97.6,25,no,96.63,96.39,50,yes,96.63,96.39,50,yes,48.61,71.39,100,yes,,,all but E,,,,,,,,,,,,,,
chb,x,x,x,x,x,51.45,53.45,0,no,54.27,53.66,0,no,55.51,29.38,0,no,66.47,66.73,50,yes,65.77,65.86,0,no ,99.13,98.99,100,yes,97.4,60.36,25,no,81.7,82.36,50,yes,84.06,84.91,100,yes,73.41,74.45,100,yes,73.82,76.39,75,yes,77.23,77.33,75,yes,76.07,76.12,75,yes,99.14,85.11,100,yes,,,,,,,,,,,,,,,,,
Nup154,x,x,x,x,x,41.43,46.23,0,yes,43.11,46.74,0,yes,48.87,49.08,0,yes,57.08,58.75,25,yes,55.2,56.41,0,no ,95.46,95.53,100,yes,89.37,89.3,100,yes,77.99,33.48,0,no,77.55,77.44,75,yes,67.3,67.69,25,no,70.58,71.72,75,yes,69.61,69.96,25,no,65.42,63.88,25,no,95.97,96.04,100,yes,,,,,,,,,,,,,,,,,
Tor,,,,,,58.72,61.07,0,yes,60.69,62.16,0,yes,65.22,65.12,0,yes,77.47,78.07,0,no,77.46,78.15,0,no ,98.13,97.86,100,yes,,,,,89.84,90.93,100,yes,92.02,91.99,100,yes,84.74,84.26,100,yes,82.63,81.83,100,yes,86.56,86.56,100,yes,,,,,99.8,20.32,100,no,,,,,,,,,,,,,,,,,
Zfrp8,x,x,x,x,x,42.17,42.65,0,yes,41.6,42.07,0,yes,46.45,20.75,0,no,48.46,49.86,25,yes,46.72,49.28,25,yes,94.81,94.81,100,yes,92.51,95.21,100,yes,72.13,72.33,100,yes,80.98,80.98,100,yes,66.19,65.99,100,yes,64.37,64.55,100,yes,66.38,67.72,100,yes,66.19,66.57,100,yes,95.1,95.1,100,yes,,,,,,,,,,,,,,,,,
Rs1,x,x,x,x,x,55.64,62.4,0,no,55.13,63.17,0,no,61.96,63.94,0,no,,,,,,,,,97.7,97.7,100,yes,97.57,97.57,100,yes,91.85,92.2,50,yes,93.99,93.99,100,yes,90.89,91.82,50,yes,88.51,89.64,0,no,91.84,92.07,75,yes,91.64,92.46,75,yes,97.31,97.31,100,yes,,,,,,,,,,,,,,,,,
Cas,x,,x,x,x,15.4,22.7,0,no,38.43,20.93,0,no,21.91,19.92,0,no,55.66,36.57,0,no,40.99,44.77,0,no ,94.39,93.44,100,yes,81.04,80.83,100,yes,66.83,69.36,100,yes,68.24,69.1,100,yes,62.05,60.4,0,no,70.02,58.89,75,yes,67.05,59.02,75,yes,65.21,56.49,50,yes,94.04,93.44,75,yes,,,all but C ,,,,,,,,,,,,,,
